Dept. of MATH
100138 (1) [100]
100432 (1) [100]
100027 (1) [99]
100142 (1) [99]
100232 (1) [99]
100441 (1) [99]
100506 (2) [99]
100102 (1) [98]
100148 (1) [98]
100341 (1) [98]
100361 (1) [98]
100165 (1) [97]
100177 (1) [97]
100070 (1) [96]
100299 (2) [96]
100069 (1) [95]
100111 (1) [95]
100125 (1) [95]
100292 (1) [95]
100452 (1) [95]
100340 (2) [95]
100247 (1) [94]
100026 (1) [93]
100109 (1) [93]
100370 (1) [93]
100326 (3) [93]
100018 (1) [92]
100225 (1) [92]
100304 (1) [92]
100529 (1) [92]
100547 (1) [92]
100080 (3) [92]
100197 (1) [91]
100139 (3) [91]
100072 (1) [89]
100394 (1) [89]
100306 (3) [89]
100086 (1) [88]
100192 (1) [88]
100249 (1) [88]
100316 (2) [88]
100034 (3) [88]
100425 (2) [87]
100011 (1) [86]
100015 (1) [86]
100113 (1) [86]
100244 (1) [86]
100073 (1) [85]
100438 (1) [85]
100460 (1) [85]
100290 (2) [85]
100150 (3) [85]
100131 (1) [84]
100389 (1) [84]
100502 (1) [84]
100350 (1) [83]
100533 (1) [83]
100068 (1) [82]
100262 (2) [82]
100054 (1) [81]
100444 (1) [81]
100520 (2) [81]
100330 (1) [80]
100523 (1) [80]
100082 (1) [79]
100135 (1) [79]
100377 (1) [79]
100378 (1) [79]
100424 (3) [79]
100021 (1) [78]
100067 (1) [78]
100423 (1) [78]
100525 (1) [78]
100484 (2) [78]
100457 (3) [77]
100032 (1) [76]
100284 (1) [76]
100286 (1) [76]
100442 (3) [76]
100093 (1) [75]
100287 (1) [75]
100383 (3) [75]
100393 (3) [75]
Dept. of CSIE
100186 (1) [100]
100519 (1) [100]
100153 (2) [100]
100027 (2) [99]
100128 (2) [99]
100506 (3) [99]
100341 (2) [98]
100507 (2) [98]
100096 (1) [97]
100160 (1) [97]
100387 (1) [97]
100103 (2) [97]
100165 (2) [97]
100218 (2) [97]
100299 (1) [96]
100340 (1) [95]
100111 (2) [95]
100452 (2) [95]
100069 (3) [95]
100076 (1) [94]
100227 (2) [94]
100101 (2) [93]
100370 (2) [93]
100392 (2) [93]
100080 (2) [92]
100225 (2) [92]
100304 (2) [92]
100547 (2) [92]
100285 (1) [91]
100397 (3) [90]
100072 (2) [89]
100216 (2) [89]
100237 (2) [89]
100306 (2) [89]
100394 (3) [89]
100246 (1) [88]
100316 (1) [88]
100274 (3) [88]
100329 (2) [87]
100425 (3) [87]
100244 (2) [86]
100024 (1) [85]
100156 (1) [85]
100290 (1) [85]
100150 (2) [85]
100460 (2) [85]
100473 (2) [85]
100073 (3) [85]
100053 (1) [84]
100295 (1) [84]
100033 (2) [84]
100527 (2) [84]
100131 (3) [84]
100207 (3) [84]
100389 (3) [84]
100322 (2) [83]
100350 (2) [83]
100496 (2) [83]
100533 (2) [83]
100179 (1) [81]
100431 (1) [81]
100520 (1) [81]
100494 (2) [81]
100031 (2) [80]
100470 (2) [80]
100176 (3) [79]
100489 (1) [78]
100525 (2) [78]
100343 (1) [76]
100442 (1) [76]
100057 (2) [76]
100283 (2) [76]
100215 (2) [75]
100362 (2) [75]
100393 (2) [75]
100410 (2) [75]
100045 (1) [74]
100347 (2) [74]
100395 (2) [74]
100413 (1) [73]
100294 (2) [73]
100302 (2) [73]
100467 (2) [73]
100429 (2) [72]
100007 (2) [71]
Dept. of EE
100173 (1) [99]
100027 (3) [99]
100102 (2) [98]
100333 (2) [98]
100085 (3) [98]
100507 (3) [98]
100406 (1) [97]
100218 (3) [97]
100310 (3) [97]
100500 (3) [96]
100125 (2) [95]
100391 (3) [95]
100147 (1) [94]
100076 (3) [94]
100247 (3) [94]
100109 (3) [93]
100392 (3) [93]
100080 (1) [92]
100225 (3) [92]
100547 (3) [92]
100139 (1) [91]
100285 (2) [91]
100446 (1) [90]
100454 (1) [90]
100394 (2) [89]
100237 (3) [89]
100274 (1) [88]
100034 (2) [88]
100246 (2) [88]
100473 (1) [85]
100073 (2) [85]
100156 (2) [85]
100438 (3) [85]
100460 (3) [85]
100318 (1) [84]
100207 (2) [84]
100389 (2) [84]
100295 (3) [84]
100262 (1) [82]
100431 (2) [81]
100054 (3) [81]
100146 (3) [81]
100444 (3) [81]
100470 (1) [80]
Dept. of PHYS
100103 (1) [97]
100218 (1) [97]
100415 (1) [97]
100310 (2) [97]
100165 (3) [97]
100500 (2) [96]
100391 (1) [95]
100534 (1) [95]
100147 (2) [94]
100023 (1) [93]
100018 (2) [92]
100139 (2) [91]
100216 (1) [89]
100237 (1) [89]
100485 (1) [89]
100414 (1) [88]
100249 (2) [88]
100308 (1) [86]
100448 (1) [85]
100473 (3) [85]
100039 (1) [84]
100527 (1) [84]
100131 (2) [84]
100322 (1) [83]
100164 (2) [82]
100262 (3) [82]
100038 (1) [81]
100520 (3) [81]
100031 (1) [80]
100386 (2) [80]
100523 (2) [80]
100424 (1) [79]
100176 (2) [79]
100484 (1) [78]
100212 (1) [77]
Dept. of CHEM
100153 (1) [100]
100186 (2) [100]
100519 (2) [100]
100506 (1) [99]
100142 (2) [99]
100333 (1) [98]
100507 (1) [98]
100085 (2) [98]
100084 (1) [97]
100387 (2) [97]
100391 (2) [95]
100452 (3) [95]
100056 (2) [94]
100076 (2) [94]
100227 (3) [94]
100101 (1) [93]
100326 (1) [93]
100392 (1) [93]
100023 (2) [93]
100109 (2) [93]
100370 (3) [93]
100047 (1) [92]
100018 (3) [92]
100397 (1) [90]
100034 (1) [88]
100274 (2) [88]
100249 (3) [88]
100448 (2) [85]
100033 (1) [84]
100207 (1) [84]
100295 (2) [84]
100533 (3) [83]
100164 (1) [82]
100146 (1) [81]
100054 (2) [81]
100444 (2) [81]
100386 (1) [80]
100330 (2) [80]
100135 (2) [79]
100424 (2) [79]
100489 (2) [78]
Dept. of LIFE
100374 (1) [100]
100153 (3) [100]
100128 (1) [99]
100173 (2) [99]
100085 (1) [98]
100121 (1) [98]
100102 (3) [98]
100310 (1) [97]
100096 (2) [97]
100406 (2) [97]
100500 (1) [96]
100070 (2) [96]
100069 (2) [95]
100056 (1) [94]
100227 (1) [94]
100247 (2) [94]
100326 (2) [93]
100397 (2) [90]
100306 (1) [89]
100329 (1) [87]
100425 (1) [87]
100478 (1) [87]
100308 (2) [86]
100116 (1) [85]
100150 (1) [85]
100024 (2) [85]
100438 (2) [85]
